first_name;last_name;middle_name;birth_date;position
"Людмила";"Суворина";"Сергеевна";"1999-9-21";"teacher"
"Ксения";"Волошина";"Алексеевна";"1969-8-22";"teacher"
"Галина";"Волошина";"Владимировна";"1983-12-24";"teacher"
"Галина";"Пешкина";"Сергеевна";"1961-6-14";"head_teacher"
"Нина";"Миклуш";"Владимировна";"1976-11-11";"head_teacher"
"Ксения";"Миклуш";"Владимировна";"2000-11-23";"teacher"
"Полина";"Суворина";"Сергеевна";"1993-9-21";"teacher"
"Нина";"Миклуш";"Александровна";"1986-10-21";"teacher"
"Евгений";"Ришатов";"Максимович";"1965-4-6";"head_teacher"
"Галина";"Фукина";"Максимовна";"1988-6-17";"teacher"
"Ксения";"Суворина";"Владимировна";"1988-4-20";"teacher"
"Полина";"Суворина";"Максимовна";"1961-12-5";"teacher"
"Владимир";"Ришатов";"Владимирович";"1962-4-6";"head_teacher"
"Галина";"Логвина";"Владимировна";"1968-8-5";"head_teacher"
"Полина";"Пешкина";"Максимовна";"1980-11-23";"head_teacher"
"Ксения";"Суворина";"Александровна";"1981-5-24";"teacher"
"Евгений";"Дунаев";"Алексеевич";"1968-4-20";"teacher"
"Людмила";"Миклуш";"Сергеевна";"1995-4-26";"teacher"
"Полина";"Логвина";"Алексеевна";"1997-11-2";"head_teacher"
"Клава";"Суворина";"Сергеевна";"1978-6-8";"head_teacher"
"Иван";"Максименко";"Максимович";"1998-12-17";"head_teacher"
"Сергей";"Павлов";"Алексеевич";"1962-6-16";"teacher"
"Ксения";"Фукина";"Максимовна";"1960-9-7";"teacher"
"Владимир";"Седько";"Максимович";"1974-1-7";"teacher"
"Владимир";"Седько";"Владимирович";"1975-1-7";"teacher"
"Полина";"Суворина";"Александровна";"1968-12-24";"teacher"
"Алексей";"Клюев";"Александрович";"1974-6-15";"teacher"
"Ксения";"Миклуш";"Сергеевна";"1972-2-7";"head_teacher"
"Клава";"Пешкина";"Александровна";"1968-12-6";"head_teacher"
"Иван";"Клюев";"Сергеевич";"1998-12-23";"head_teacher"
"Алексей";"Седько";"Сергеевич";"1971-3-28";"head_teacher"
"Ксения";"Логвина";"Максимовна";"1987-11-25";"teacher"
"Владимир";"Клюев";"Алексеевич";"1987-2-5";"head_teacher"
"Клава";"Миклуш";"Алексеевна";"1960-4-16";"teacher"
"Евгений";"Ришатов";"Сергеевич";"1975-4-11";"teacher"
"Григорий";"Седько";"Александрович";"2000-1-14";"head_teacher"
"Клава";"Пешкина";"Александровна";"1982-3-20";"head_teacher"
"Нина";"Суворина";"Александровна";"1972-9-26";"teacher"
"Ксения";"Пешкина";"Максимовна";"1975-11-17";"teacher"
"Сергей";"Дунаев";"Владимирович";"1973-7-15";"head_teacher"
"Клава";"Суворина";"Максимовна";"1974-5-21";"head_teacher"
"Нина";"Пешкина";"Владимировна";"1976-8-23";"teacher"
"Клава";"Логвина";"Александровна";"1964-9-23";"head_teacher"
"Полина";"Пешкина";"Владимировна";"2000-6-9";"teacher"
"Галина";"Суворина";"Максимовна";"1962-7-9";"head_teacher"
"Алексей";"Максименко";"Сергеевич";"1988-4-11";"teacher"
"Владимир";"Седько";"Александрович";"1968-4-24";"teacher"
"Нина";"Волошина";"Алексеевна";"1969-2-7";"head_teacher"
"Галина";"Пешкина";"Сергеевна";"1965-2-21";"teacher"
"Владимир";"Седько";"Владимирович";"1970-11-17";"teacher"
"Галина";"Миклуш";"Александровна";"1994-7-4";"teacher"
"Алексей";"Седько";"Алексеевич";"1965-9-3";"teacher"
"Иван";"Ришатов";"Максимович";"1993-11-12";"head_teacher"
"Ксения";"Миклуш";"Александровна";"1970-5-14";"teacher"
"Клава";"Миклуш";"Сергеевна";"1981-6-16";"head_teacher"
"Алексей";"Ришатов";"Сергеевич";"1964-11-19";"head_teacher"
"Алексей";"Седько";"Максимович";"1985-9-15";"teacher"
"Сергей";"Клюев";"Максимович";"1984-6-2";"head_teacher"
"Алексей";"Седько";"Максимович";"1985-4-13";"teacher"
"Сергей";"Ришатов";"Максимович";"1974-9-5";"teacher"
"Евгений";"Дунаев";"Алексеевич";"1971-9-2";"teacher"
"Клава";"Фукина";"Владимировна";"1991-10-22";"teacher"
"Алексей";"Дунаев";"Максимович";"1963-4-7";"teacher"
"Галина";"Логвина";"Владимировна";"2000-2-19";"teacher"
"Григорий";"Дунаев";"Алексеевич";"1972-4-2";"teacher"
"Евгений";"Дунаев";"Сергеевич";"1998-8-19";"head_teacher"
"Иван";"Максименко";"Владимирович";"1980-8-14";"teacher"
"Евгений";"Максименко";"Максимович";"1962-5-22";"head_teacher"
"Нина";"Миклуш";"Максимовна";"1997-2-6";"teacher"
"Людмила";"Суворина";"Сергеевна";"1984-3-2";"head_teacher"
"Нина";"Суворина";"Максимовна";"1977-6-8";"head_teacher"
"Иван";"Ришатов";"Алексеевич";"1983-3-16";"teacher"
"Ксения";"Логвина";"Максимовна";"1996-3-13";"teacher"
"Сергей";"Ришатов";"Алексеевич";"1961-6-27";"teacher"
"Сергей";"Ришатов";"Сергеевич";"1966-10-26";"teacher"
"Сергей";"Ришатов";"Александрович";"1962-7-20";"head_teacher"
"Владимир";"Седько";"Сергеевич";"1961-8-23";"head_teacher"
"Людмила";"Миклуш";"Александровна";"1978-9-19";"head_teacher"
"Евгений";"Клюев";"Алексеевич";"1980-8-12";"teacher"
"Алексей";"Ришатов";"Владимирович";"1991-2-26";"head_teacher"
"Нина";"Фукина";"Владимировна";"1981-6-3";"head_teacher"
"Алексей";"Дунаев";"Алексеевич";"1984-6-28";"head_teacher"
"Владимир";"Ришатов";"Владимирович";"1964-4-25";"teacher"
"Алексей";"Павлов";"Максимович";"1994-5-8";"head_teacher"
"Алексей";"Клюев";"Александрович";"1981-4-10";"teacher"
"Иван";"Седько";"Владимирович";"1964-9-20";"head_teacher"
"Григорий";"Дунаев";"Алексеевич";"1990-11-10";"teacher"
"Нина";"Волошина";"Сергеевна";"1986-3-21";"head_teacher"
"Ксения";"Фукина";"Александровна";"1982-2-14";"head_teacher"
"Людмила";"Пешкина";"Александровна";"1999-9-14";"head_teacher"
"Людмила";"Миклуш";"Владимировна";"1966-3-8";"teacher"
"Полина";"Суворина";"Владимировна";"1995-5-26";"teacher"
"Нина";"Логвина";"Сергеевна";"1968-12-11";"head_teacher"
"Ксения";"Суворина";"Александровна";"1999-11-10";"head_teacher"
"Иван";"Дунаев";"Алексеевич";"1980-8-17";"teacher"
"Клава";"Суворина";"Максимовна";"1960-9-19";"teacher"
"Ксения";"Волошина";"Александровна";"1966-3-25";"teacher"
"Иван";"Седько";"Александрович";"1961-3-1";"teacher"
"Владимир";"Павлов";"Александрович";"1968-1-27";"teacher"
"Григорий";"Максименко";"Сергеевич";"1993-1-18";"head_teacher"
"Клава";"Фукина";"Сергеевна";"1971-3-10";"head_teacher"
"Сергей";"Ришатов";"Максимович";"1963-4-24";"head_teacher"
"Алексей";"Дунаев";"Владимирович";"1967-10-19";"teacher"
"Сергей";"Седько";"Сергеевич";"1981-2-2";"head_teacher"
"Клава";"Волошина";"Сергеевна";"1978-1-9";"head_teacher"
"Григорий";"Максименко";"Владимирович";"1962-12-1";"teacher"
"Иван";"Павлов";"Максимович";"1974-3-4";"teacher"
"Владимир";"Седько";"Александрович";"1974-2-25";"teacher"
"Ксения";"Суворина";"Владимировна";"1975-12-7";"teacher"
"Клава";"Суворина";"Александровна";"1987-9-18";"head_teacher"
"Нина";"Волошина";"Алексеевна";"1999-7-5";"head_teacher"
"Нина";"Логвина";"Сергеевна";"1967-11-9";"head_teacher"
"Сергей";"Седько";"Максимович";"2000-2-21";"head_teacher"
"Евгений";"Клюев";"Владимирович";"1985-10-27";"head_teacher"
"Ксения";"Волошина";"Владимировна";"1970-1-13";"teacher"
"Нина";"Суворина";"Владимировна";"1988-3-19";"teacher"
"Галина";"Логвина";"Владимировна";"1970-12-25";"head_teacher"
"Полина";"Логвина";"Владимировна";"1966-11-26";"teacher"
"Иван";"Седько";"Алексеевич";"1990-4-8";"teacher"
"Ксения";"Фукина";"Максимовна";"1962-1-4";"teacher"
"Евгений";"Седько";"Сергеевич";"1991-10-24";"head_teacher"
"Сергей";"Дунаев";"Максимович";"1989-7-24";"head_teacher"
"Клава";"Пешкина";"Максимовна";"1998-12-3";"head_teacher"
"Евгений";"Седько";"Александрович";"1990-6-9";"teacher"
"Григорий";"Павлов";"Алексеевич";"1969-9-5";"head_teacher"
"Алексей";"Павлов";"Максимович";"1988-5-18";"head_teacher"
"Евгений";"Павлов";"Сергеевич";"1976-4-13";"teacher"
"Галина";"Фукина";"Максимовна";"1998-4-7";"teacher"
"Евгений";"Максименко";"Сергеевич";"1999-9-1";"teacher"
"Григорий";"Седько";"Алексеевич";"1986-11-24";"head_teacher"
"Григорий";"Ришатов";"Максимович";"1992-10-3";"teacher"
"Галина";"Миклуш";"Александровна";"1978-2-24";"head_teacher"
"Сергей";"Ришатов";"Сергеевич";"1964-12-12";"head_teacher"
"Людмила";"Миклуш";"Сергеевна";"1994-8-15";"head_teacher"
"Полина";"Пешкина";"Максимовна";"1972-8-19";"teacher"
"Владимир";"Максименко";"Алексеевич";"1997-5-22";"teacher"
"Клава";"Логвина";"Александровна";"1988-4-27";"head_teacher"
"Сергей";"Клюев";"Алексеевич";"1992-6-5";"head_teacher"
"Иван";"Дунаев";"Алексеевич";"1991-7-3";"teacher"
"Владимир";"Дунаев";"Александрович";"2000-3-21";"teacher"
"Полина";"Пешкина";"Александровна";"1975-10-13";"teacher"
"Григорий";"Седько";"Максимович";"1998-2-8";"teacher"
"Иван";"Ришатов";"Владимирович";"1980-1-25";"head_teacher"
"Владимир";"Ришатов";"Алексеевич";"1960-10-12";"teacher"
"Нина";"Фукина";"Владимировна";"1975-9-5";"teacher"
"Григорий";"Седько";"Сергеевич";"1993-11-20";"head_teacher"
"Полина";"Пешкина";"Максимовна";"1999-3-2";"head_teacher"
"Ксения";"Фукина";"Сергеевна";"1996-5-24";"head_teacher"
"Галина";"Фукина";"Максимовна";"1999-3-22";"head_teacher"
"Иван";"Дунаев";"Александрович";"1970-3-23";"head_teacher"
"Полина";"Суворина";"Алексеевна";"1993-4-9";"head_teacher"
"Клава";"Суворина";"Владимировна";"1977-3-9";"head_teacher"
"Владимир";"Клюев";"Сергеевич";"1994-7-20";"head_teacher"
"Галина";"Волошина";"Алексеевна";"1987-8-7";"teacher"
"Ксения";"Миклуш";"Алексеевна";"1966-2-6";"teacher"
"Сергей";"Дунаев";"Алексеевич";"1975-9-13";"head_teacher"
"Владимир";"Седько";"Сергеевич";"1979-6-24";"teacher"
"Ксения";"Волошина";"Алексеевна";"1975-9-9";"head_teacher"
"Григорий";"Седько";"Максимович";"1996-4-25";"head_teacher"
"Иван";"Ришатов";"Александрович";"1998-3-3";"teacher"
"Полина";"Миклуш";"Алексеевна";"1974-10-13";"teacher"
"Григорий";"Максименко";"Владимирович";"1980-1-17";"teacher"
"Галина";"Фукина";"Сергеевна";"1977-11-26";"teacher"
"Сергей";"Седько";"Алексеевич";"1997-9-21";"head_teacher"
"Галина";"Волошина";"Александровна";"1977-7-5";"head_teacher"
"Ксения";"Логвина";"Алексеевна";"1988-5-15";"head_teacher"
"Евгений";"Дунаев";"Владимирович";"1994-4-14";"head_teacher"
"Галина";"Логвина";"Александровна";"1973-12-4";"teacher"
"Полина";"Волошина";"Александровна";"1965-11-14";"teacher"
"Ксения";"Миклуш";"Сергеевна";"1960-10-6";"teacher"
"Григорий";"Клюев";"Владимирович";"1963-2-16";"head_teacher"
"Людмила";"Волошина";"Максимовна";"1977-5-21";"teacher"
"Евгений";"Седько";"Алексеевич";"1994-7-14";"head_teacher"
"Алексей";"Седько";"Владимирович";"1995-10-9";"teacher"
"Евгений";"Павлов";"Александрович";"1978-4-27";"teacher"
"Галина";"Суворина";"Сергеевна";"1977-10-1";"teacher"
"Полина";"Миклуш";"Александровна";"1968-7-12";"head_teacher"
"Клава";"Волошина";"Александровна";"1961-9-4";"teacher"
"Алексей";"Дунаев";"Сергеевич";"1971-2-14";"head_teacher"
"Людмила";"Фукина";"Сергеевна";"1995-11-14";"teacher"
"Алексей";"Клюев";"Александрович";"1972-3-14";"head_teacher"
"Иван";"Седько";"Максимович";"1969-3-19";"head_teacher"
"Клава";"Логвина";"Максимовна";"1983-6-5";"teacher"
"Галина";"Пешкина";"Алексеевна";"1989-10-8";"head_teacher"
"Ксения";"Волошина";"Максимовна";"2000-3-3";"teacher"
"Алексей";"Седько";"Максимович";"1982-11-17";"head_teacher"
"Галина";"Волошина";"Алексеевна";"1990-8-28";"head_teacher"
"Клава";"Пешкина";"Владимировна";"1973-10-1";"teacher"
"Нина";"Фукина";"Владимировна";"1991-12-23";"head_teacher"
"Владимир";"Павлов";"Алексеевич";"1971-9-5";"head_teacher"
"Людмила";"Фукина";"Сергеевна";"1973-4-21";"head_teacher"
"Людмила";"Волошина";"Алексеевна";"1978-12-19";"head_teacher"
"Алексей";"Максименко";"Алексеевич";"1981-11-12";"teacher"
"Евгений";"Седько";"Владимирович";"1960-12-1";"teacher"
"Клава";"Пешкина";"Александровна";"1991-9-6";"head_teacher"
"Галина";"Логвина";"Алексеевна";"1991-9-5";"head_teacher"
"Нина";"Фукина";"Максимовна";"1978-9-9";"head_teacher"
"Сергей";"Максименко";"Алексеевич";"1961-12-10";"teacher"
"Нина";"Миклуш";"Александровна";"1998-6-4";"head_teacher"
"Полина";"Миклуш";"Алексеевна";"1980-4-2";"teacher"
"Галина";"Волошина";"Александровна";"1992-2-22";"teacher"
"Клава";"Миклуш";"Сергеевна";"2000-11-10";"teacher"
"Клава";"Пешкина";"Алексеевна";"2000-6-23";"head_teacher"
"Алексей";"Дунаев";"Алексеевич";"1997-8-28";"head_teacher"
"Ксения";"Пешкина";"Максимовна";"1994-8-11";"head_teacher"
"Владимир";"Седько";"Сергеевич";"1967-7-9";"teacher"
"Полина";"Суворина";"Владимировна";"1999-7-12";"head_teacher"
"Людмила";"Фукина";"Максимовна";"1994-6-17";"head_teacher"
"Григорий";"Павлов";"Сергеевич";"1984-3-10";"teacher"
"Нина";"Миклуш";"Владимировна";"1998-1-14";"teacher"
"Сергей";"Седько";"Максимович";"1997-10-1";"head_teacher"
"Евгений";"Максименко";"Владимирович";"1970-12-21";"head_teacher"
"Владимир";"Максименко";"Александрович";"1998-4-21";"teacher"
"Евгений";"Максименко";"Александрович";"1978-6-23";"teacher"
"Людмила";"Пешкина";"Сергеевна";"1990-2-25";"head_teacher"
"Евгений";"Дунаев";"Максимович";"1975-9-19";"teacher"
"Иван";"Седько";"Александрович";"1987-8-15";"teacher"
"Ксения";"Пешкина";"Владимировна";"1997-11-4";"head_teacher"
"Нина";"Логвина";"Сергеевна";"1977-5-19";"teacher"
"Алексей";"Клюев";"Максимович";"1997-11-8";"head_teacher"
"Людмила";"Суворина";"Максимовна";"1987-11-12";"teacher"
"Людмила";"Логвина";"Александровна";"1968-2-8";"head_teacher"
"Галина";"Фукина";"Алексеевна";"1997-2-16";"head_teacher"
"Галина";"Суворина";"Владимировна";"1985-4-21";"teacher"
"Евгений";"Клюев";"Максимович";"1987-12-13";"teacher"
"Полина";"Фукина";"Владимировна";"2000-12-8";"head_teacher"
"Владимир";"Ришатов";"Алексеевич";"1964-7-2";"head_teacher"
"Людмила";"Суворина";"Максимовна";"1978-12-14";"teacher"
"Сергей";"Максименко";"Александрович";"1998-4-28";"head_teacher"
"Сергей";"Седько";"Максимович";"1965-4-20";"head_teacher"
"Евгений";"Павлов";"Алексеевич";"1985-7-24";"head_teacher"
"Людмила";"Фукина";"Максимовна";"1961-10-17";"head_teacher"
"Людмила";"Пешкина";"Александровна";"1985-1-4";"head_teacher"
"Евгений";"Павлов";"Алексеевич";"1991-10-10";"head_teacher"
"Людмила";"Логвина";"Александровна";"1990-4-7";"head_teacher"
"Галина";"Миклуш";"Сергеевна";"1994-10-8";"teacher"
"Евгений";"Павлов";"Александрович";"1999-10-3";"head_teacher"
"Владимир";"Дунаев";"Сергеевич";"1985-5-21";"teacher"
"Владимир";"Павлов";"Александрович";"1981-11-17";"teacher"
"Иван";"Клюев";"Владимирович";"1977-4-8";"head_teacher"
"Евгений";"Седько";"Алексеевич";"1975-6-7";"head_teacher"
"Клава";"Фукина";"Владимировна";"1970-11-15";"teacher"
"Нина";"Волошина";"Александровна";"1975-1-20";"teacher"
"Людмила";"Миклуш";"Владимировна";"1976-1-25";"head_teacher"
"Нина";"Волошина";"Александровна";"1982-2-15";"teacher"
"Евгений";"Ришатов";"Сергеевич";"1990-3-14";"teacher"
"Людмила";"Фукина";"Сергеевна";"1986-4-20";"head_teacher"
"Иван";"Ришатов";"Владимирович";"1981-4-17";"teacher"
"Полина";"Логвина";"Владимировна";"1980-7-14";"head_teacher"
"Людмила";"Пешкина";"Алексеевна";"1985-5-5";"teacher"
"Ксения";"Логвина";"Сергеевна";"1968-10-14";"teacher"
"Иван";"Седько";"Алексеевич";"1996-6-4";"head_teacher"
"Людмила";"Миклуш";"Алексеевна";"1973-6-11";"teacher"
"Владимир";"Максименко";"Максимович";"1987-7-20";"head_teacher"
"Алексей";"Максименко";"Владимирович";"1995-3-2";"teacher"
"Иван";"Седько";"Сергеевич";"1963-1-11";"teacher"
"Полина";"Волошина";"Сергеевна";"1978-5-15";"teacher"
"Полина";"Миклуш";"Владимировна";"1964-11-20";"head_teacher"
"Галина";"Пешкина";"Владимировна";"1967-7-18";"teacher"
"Григорий";"Ришатов";"Владимирович";"1969-11-11";"head_teacher"
"Владимир";"Клюев";"Владимирович";"1997-8-27";"teacher"
"Алексей";"Клюев";"Сергеевич";"1965-3-10";"head_teacher"
"Владимир";"Максименко";"Сергеевич";"1998-9-5";"head_teacher"
"Ксения";"Фукина";"Александровна";"1996-6-23";"head_teacher"
"Иван";"Седько";"Максимович";"1999-8-12";"teacher"
"Полина";"Миклуш";"Владимировна";"1961-8-19";"teacher"
"Алексей";"Павлов";"Александрович";"1972-6-4";"teacher"
"Ксения";"Суворина";"Владимировна";"1991-8-23";"teacher"
"Полина";"Пешкина";"Александровна";"1976-4-21";"teacher"
"Владимир";"Максименко";"Максимович";"1994-1-5";"teacher"
"Алексей";"Седько";"Александрович";"1961-2-18";"teacher"
"Иван";"Ришатов";"Максимович";"1998-10-2";"head_teacher"
"Клава";"Пешкина";"Владимировна";"1991-4-2";"head_teacher"
"Клава";"Миклуш";"Александровна";"1971-6-27";"teacher"
"Людмила";"Фукина";"Алексеевна";"1962-2-7";"teacher"
"Нина";"Пешкина";"Максимовна";"1994-11-26";"head_teacher"
"Ксения";"Миклуш";"Алексеевна";"1990-11-22";"teacher"
"Полина";"Миклуш";"Алексеевна";"1993-3-16";"teacher"
"Евгений";"Клюев";"Сергеевич";"1983-2-18";"head_teacher"
"Сергей";"Седько";"Максимович";"1972-3-20";"head_teacher"
"Сергей";"Клюев";"Александрович";"1971-1-7";"teacher"
"Сергей";"Клюев";"Алексеевич";"1977-11-7";"teacher"
"Алексей";"Максименко";"Александрович";"1967-8-11";"teacher"
"Сергей";"Павлов";"Максимович";"1963-5-19";"head_teacher"
"Ксения";"Фукина";"Максимовна";"1979-12-2";"head_teacher"
"Клава";"Фукина";"Сергеевна";"1977-10-16";"head_teacher"
"Сергей";"Павлов";"Владимирович";"1986-9-9";"head_teacher"
"Людмила";"Логвина";"Владимировна";"1990-11-15";"teacher"
"Полина";"Волошина";"Александровна";"1974-11-20";"head_teacher"
"Людмила";"Пешкина";"Алексеевна";"1978-9-28";"head_teacher"
"Галина";"Суворина";"Владимировна";"1982-7-12";"head_teacher"
"Галина";"Логвина";"Максимовна";"1998-6-2";"teacher"
"Алексей";"Дунаев";"Сергеевич";"1969-4-27";"teacher"
"Клава";"Логвина";"Максимовна";"1974-2-23";"teacher"
"Ксения";"Миклуш";"Алексеевна";"1984-7-16";"head_teacher"
"Клава";"Пешкина";"Александровна";"1965-11-14";"head_teacher"
"Сергей";"Седько";"Сергеевич";"1989-1-17";"teacher"
"Иван";"Ришатов";"Максимович";"1973-6-27";"head_teacher"
"Ксения";"Миклуш";"Александровна";"1993-7-7";"head_teacher"
"Клава";"Пешкина";"Владимировна";"1998-12-24";"teacher"
"Полина";"Волошина";"Александровна";"1996-4-3";"head_teacher"
"Григорий";"Максименко";"Александрович";"1988-7-26";"head_teacher"
"Нина";"Фукина";"Александровна";"1985-12-9";"teacher"
"Нина";"Пешкина";"Максимовна";"1990-12-11";"teacher"
"Людмила";"Фукина";"Владимировна";"1983-3-18";"head_teacher"
"Нина";"Миклуш";"Сергеевна";"1993-2-11";"teacher"
"Нина";"Логвина";"Алексеевна";"1985-3-23";"teacher"
"Иван";"Седько";"Владимирович";"1964-5-25";"head_teacher"
"Владимир";"Дунаев";"Максимович";"1970-9-1";"teacher"
"Алексей";"Клюев";"Александрович";"1980-5-2";"teacher"
"Полина";"Логвина";"Сергеевна";"1961-3-24";"teacher"
"Владимир";"Дунаев";"Алексеевич";"1991-6-26";"head_teacher"
"Евгений";"Дунаев";"Максимович";"1989-10-9";"teacher"
"Алексей";"Клюев";"Владимирович";"1994-5-28";"teacher"
"Григорий";"Клюев";"Максимович";"1974-12-22";"head_teacher"
"Иван";"Максименко";"Максимович";"1997-1-28";"teacher"
"Владимир";"Дунаев";"Алексеевич";"1971-1-13";"head_teacher"
"Владимир";"Дунаев";"Алексеевич";"1978-1-10";"teacher"
"Сергей";"Максименко";"Сергеевич";"1976-8-23";"teacher"
"Клава";"Пешкина";"Алексеевна";"1971-3-13";"teacher"
"Григорий";"Седько";"Сергеевич";"1985-10-21";"head_teacher"
"Людмила";"Волошина";"Владимировна";"1994-7-7";"teacher"
"Сергей";"Ришатов";"Максимович";"1962-1-21";"head_teacher"
"Людмила";"Суворина";"Александровна";"1967-4-1";"teacher"
"Ксения";"Логвина";"Владимировна";"1980-3-23";"teacher"
"Евгений";"Седько";"Максимович";"1983-10-21";"head_teacher"
"Нина";"Фукина";"Владимировна";"1963-6-28";"teacher"
"Нина";"Миклуш";"Владимировна";"1963-8-8";"head_teacher"
"Григорий";"Павлов";"Максимович";"1997-12-5";"teacher"
"Иван";"Дунаев";"Сергеевич";"1988-11-7";"teacher"
"Алексей";"Ришатов";"Максимович";"1971-10-16";"teacher"
"Евгений";"Дунаев";"Сергеевич";"1993-7-8";"teacher"
"Сергей";"Ришатов";"Максимович";"1983-11-10";"teacher"
"Галина";"Фукина";"Сергеевна";"1978-8-28";"teacher"
"Алексей";"Дунаев";"Алексеевич";"1990-4-12";"head_teacher"
"Клава";"Логвина";"Максимовна";"1986-10-21";"head_teacher"
"Нина";"Логвина";"Александровна";"1995-4-16";"teacher"
"Евгений";"Дунаев";"Сергеевич";"1974-10-23";"head_teacher"
"Иван";"Клюев";"Максимович";"1980-2-25";"teacher"
"Полина";"Пешкина";"Владимировна";"1998-5-22";"teacher"
"Клава";"Миклуш";"Александровна";"1987-5-27";"teacher"
"Галина";"Логвина";"Максимовна";"1967-7-12";"head_teacher"
"Иван";"Дунаев";"Александрович";"1993-10-14";"head_teacher"
"Полина";"Пешкина";"Владимировна";"1999-8-16";"teacher"
"Клава";"Суворина";"Максимовна";"1963-1-19";"teacher"
"Нина";"Фукина";"Сергеевна";"1994-8-28";"teacher"
"Владимир";"Клюев";"Сергеевич";"1980-12-7";"teacher"
"Галина";"Суворина";"Сергеевна";"1978-12-15";"teacher"
"Людмила";"Фукина";"Максимовна";"1981-5-6";"teacher"
"Иван";"Максименко";"Владимирович";"1989-5-2";"head_teacher"
"Ксения";"Пешкина";"Алексеевна";"1965-4-25";"teacher"
"Ксения";"Волошина";"Владимировна";"1960-8-19";"head_teacher"
"Нина";"Фукина";"Алексеевна";"1969-9-23";"head_teacher"
"Людмила";"Фукина";"Владимировна";"1974-5-2";"teacher"
"Клава";"Пешкина";"Максимовна";"1962-10-26";"head_teacher"
"Владимир";"Максименко";"Александрович";"1970-5-26";"head_teacher"
"Иван";"Максименко";"Александрович";"1971-2-24";"head_teacher"
"Полина";"Суворина";"Максимовна";"1966-7-4";"teacher"
"Евгений";"Ришатов";"Максимович";"1989-11-13";"teacher"
"Григорий";"Клюев";"Александрович";"1965-9-7";"head_teacher"
