first_name;last_name;middle_name;birth_date;gender;is_vaccinated
"Полина";"Фукина";"Алексеевна";"1984-3-2";"male";True
"Галина";"Миклуш";"Сергеевна";"1979-6-27";"male";True
"Евгений";"Клюев";"Максимович";"1974-11-2";"female";True
"Клава";"Фукина";"Владимировна";"1970-10-11";"female";False
"Ксения";"Фукина";"Александровна";"1982-5-18";"female";False
"Евгений";"Максименко";"Алексеевич";"1961-10-14";"female";True
"Клава";"Миклуш";"Сергеевна";"1987-4-10";"male";True
"Иван";"Клюев";"Владимирович";"1989-12-24";"male";False
"Сергей";"Павлов";"Сергеевич";"1968-7-1";"male";True
"Галина";"Пешкина";"Алексеевна";"1971-9-2";"female";False
"Галина";"Волошина";"Владимировна";"1996-8-2";"female";True
"Ксения";"Суворина";"Александровна";"1999-9-21";"female";True
"Алексей";"Павлов";"Алексеевич";"1960-2-22";"male";True
"Сергей";"Павлов";"Владимирович";"1999-4-5";"male";True
"Евгений";"Ришатов";"Александрович";"1998-6-24";"female";True
"Евгений";"Максименко";"Александрович";"1990-12-28";"female";False
"Галина";"Миклуш";"Владимировна";"1965-2-20";"female";True
"Галина";"Пешкина";"Владимировна";"1999-1-13";"female";True
"Сергей";"Клюев";"Алексеевич";"1964-9-24";"male";True
"Нина";"Фукина";"Максимовна";"1985-7-19";"male";True
"Евгений";"Максименко";"Владимирович";"1970-12-28";"female";False
"Алексей";"Дунаев";"Владимирович";"1977-8-21";"male";True
"Ксения";"Миклуш";"Сергеевна";"1966-8-11";"female";False
"Григорий";"Ришатов";"Сергеевич";"1974-9-9";"female";True
"Полина";"Суворина";"Александровна";"1985-4-1";"female";False
"Ксения";"Суворина";"Максимовна";"2000-6-9";"male";True
"Алексей";"Клюев";"Алексеевич";"1994-3-15";"female";True
"Евгений";"Дунаев";"Алексеевич";"1978-8-19";"male";True
"Сергей";"Ришатов";"Владимирович";"1984-2-21";"male";False
"Клава";"Волошина";"Алексеевна";"1981-7-19";"female";False
"Галина";"Фукина";"Алексеевна";"1997-11-12";"male";False
"Клава";"Волошина";"Максимовна";"1988-9-9";"male";True
"Людмила";"Миклуш";"Александровна";"1963-9-24";"male";True
"Иван";"Павлов";"Алексеевич";"1983-1-11";"male";True
"Григорий";"Клюев";"Алексеевич";"1983-3-3";"female";False
"Владимир";"Клюев";"Александрович";"1973-11-18";"female";False
"Клава";"Логвина";"Александровна";"1996-1-4";"male";False
"Алексей";"Павлов";"Алексеевич";"1985-1-1";"male";False
"Владимир";"Павлов";"Максимович";"1986-10-6";"female";False
"Галина";"Фукина";"Максимовна";"1964-8-11";"female";False
"Людмила";"Пешкина";"Алексеевна";"1989-11-27";"female";True
"Людмила";"Суворина";"Алексеевна";"1991-12-21";"female";False
"Алексей";"Седько";"Максимович";"1965-2-28";"female";True
"Григорий";"Павлов";"Владимирович";"1972-12-22";"female";False
"Алексей";"Седько";"Владимирович";"1972-1-14";"female";False
"Ксения";"Миклуш";"Максимовна";"1979-6-16";"male";True
"Галина";"Фукина";"Сергеевна";"1967-3-15";"female";False
"Григорий";"Седько";"Алексеевич";"1961-12-9";"male";False
"Людмила";"Миклуш";"Сергеевна";"1964-6-27";"female";False
"Сергей";"Клюев";"Александрович";"1962-9-19";"male";True
"Иван";"Максименко";"Александрович";"1993-4-9";"female";False
"Людмила";"Пешкина";"Александровна";"1960-3-21";"male";True
"Сергей";"Седько";"Владимирович";"1979-11-19";"female";True
"Галина";"Суворина";"Максимовна";"1976-11-18";"male";False
"Сергей";"Клюев";"Сергеевич";"1992-3-13";"female";True
"Клава";"Волошина";"Максимовна";"1967-12-8";"male";True
"Полина";"Логвина";"Максимовна";"1963-2-25";"male";False
"Иван";"Павлов";"Максимович";"1989-2-14";"male";False
"Григорий";"Клюев";"Максимович";"1997-5-17";"male";True
"Евгений";"Павлов";"Сергеевич";"1975-4-6";"female";False
"Алексей";"Седько";"Сергеевич";"1985-5-4";"female";True
"Иван";"Павлов";"Алексеевич";"1989-10-3";"female";False
"Ксения";"Суворина";"Алексеевна";"1972-6-27";"male";False
"Алексей";"Дунаев";"Алексеевич";"1980-7-4";"male";False
"Людмила";"Пешкина";"Алексеевна";"1971-2-1";"female";True
"Клава";"Логвина";"Сергеевна";"1966-6-5";"female";False
"Нина";"Миклуш";"Алексеевна";"1978-6-20";"female";False
"Иван";"Павлов";"Владимирович";"1968-10-8";"female";True
"Людмила";"Фукина";"Максимовна";"1988-3-16";"male";False
"Нина";"Суворина";"Владимировна";"1972-3-4";"male";True
"Сергей";"Дунаев";"Владимирович";"1965-4-19";"male";False
"Григорий";"Клюев";"Владимирович";"1967-12-23";"female";True
"Клава";"Фукина";"Владимировна";"1967-1-18";"female";True
"Григорий";"Павлов";"Алексеевич";"1961-1-23";"female";False
"Клава";"Суворина";"Сергеевна";"1962-4-2";"female";False
"Полина";"Волошина";"Александровна";"1970-11-2";"male";True
"Ксения";"Суворина";"Алексеевна";"1993-5-6";"female";False
"Алексей";"Клюев";"Алексеевич";"1972-9-27";"female";True
"Ксения";"Логвина";"Максимовна";"2000-5-26";"male";False
"Григорий";"Дунаев";"Алексеевич";"1977-12-13";"female";False
"Людмила";"Пешкина";"Алексеевна";"1981-3-9";"male";True
"Алексей";"Дунаев";"Максимович";"1982-10-2";"female";False
"Иван";"Павлов";"Алексеевич";"1998-5-9";"female";True
"Иван";"Клюев";"Алексеевич";"1991-9-26";"female";True
"Людмила";"Логвина";"Алексеевна";"1973-12-23";"male";True
"Ксения";"Фукина";"Алексеевна";"1992-2-7";"male";True
"Галина";"Волошина";"Максимовна";"1966-3-11";"female";False
"Ксения";"Фукина";"Сергеевна";"1965-10-17";"male";True
"Владимир";"Клюев";"Сергеевич";"1997-12-24";"male";False
"Евгений";"Дунаев";"Александрович";"1962-6-21";"male";False
"Иван";"Седько";"Сергеевич";"1978-6-25";"female";True
"Нина";"Пешкина";"Владимировна";"1984-9-23";"male";True
"Полина";"Пешкина";"Сергеевна";"1964-2-26";"male";False
"Иван";"Ришатов";"Сергеевич";"1981-11-26";"male";False
"Людмила";"Миклуш";"Александровна";"1968-4-6";"male";True
"Клава";"Фукина";"Сергеевна";"1982-1-11";"male";False
"Евгений";"Дунаев";"Алексеевич";"1999-11-11";"female";True
"Клава";"Волошина";"Максимовна";"1984-12-20";"female";False
"Клава";"Фукина";"Максимовна";"1989-11-5";"male";False
"Людмила";"Фукина";"Александровна";"1993-6-25";"female";True
"Галина";"Миклуш";"Владимировна";"1976-5-6";"female";True
"Людмила";"Волошина";"Максимовна";"1964-4-17";"male";True
"Полина";"Миклуш";"Алексеевна";"1986-1-24";"female";True
"Владимир";"Седько";"Александрович";"1962-10-21";"male";True
"Евгений";"Максименко";"Алексеевич";"1967-5-15";"female";True
"Клава";"Пешкина";"Алексеевна";"1983-1-6";"female";True
"Клава";"Миклуш";"Владимировна";"1995-7-12";"male";True
"Людмила";"Волошина";"Максимовна";"1976-12-1";"female";True
"Сергей";"Клюев";"Алексеевич";"1988-10-20";"female";False
"Ксения";"Волошина";"Алексеевна";"1985-8-3";"female";True
"Ксения";"Суворина";"Максимовна";"1998-6-4";"female";False
"Ксения";"Волошина";"Сергеевна";"1962-9-19";"male";False
"Галина";"Миклуш";"Алексеевна";"1976-4-25";"female";False
"Людмила";"Миклуш";"Александровна";"1968-5-23";"male";False
"Полина";"Фукина";"Александровна";"1961-2-19";"male";False
"Людмила";"Волошина";"Владимировна";"1969-6-21";"male";True
"Евгений";"Павлов";"Сергеевич";"1982-2-22";"male";True
"Людмила";"Волошина";"Владимировна";"1969-3-1";"female";False
"Григорий";"Седько";"Сергеевич";"1973-9-8";"male";True
"Полина";"Логвина";"Владимировна";"1976-6-21";"female";True
"Галина";"Суворина";"Максимовна";"1974-4-15";"female";False
"Людмила";"Суворина";"Владимировна";"1985-9-24";"female";True
"Иван";"Клюев";"Алексеевич";"1996-9-1";"male";True
"Иван";"Седько";"Сергеевич";"1980-2-26";"female";True
"Нина";"Фукина";"Владимировна";"1964-11-28";"male";True
"Полина";"Волошина";"Александровна";"1982-1-16";"female";False
"Галина";"Фукина";"Александровна";"1993-3-28";"male";False
"Григорий";"Клюев";"Александрович";"2000-12-16";"male";False
"Людмила";"Суворина";"Александровна";"1966-7-23";"female";False
"Владимир";"Дунаев";"Александрович";"1984-2-12";"male";False
"Алексей";"Седько";"Сергеевич";"1981-8-23";"female";False
"Ксения";"Фукина";"Максимовна";"1966-12-8";"female";False
"Полина";"Логвина";"Владимировна";"1997-2-6";"male";True
"Евгений";"Седько";"Сергеевич";"1991-7-13";"female";True
"Людмила";"Логвина";"Владимировна";"1960-3-26";"male";True
"Евгений";"Дунаев";"Алексеевич";"1980-9-7";"male";False
"Людмила";"Волошина";"Алексеевна";"1976-9-19";"female";False
"Галина";"Пешкина";"Алексеевна";"1965-6-11";"female";True
"Сергей";"Павлов";"Алексеевич";"1987-1-24";"female";False
"Нина";"Волошина";"Александровна";"1986-8-23";"female";True
"Полина";"Пешкина";"Сергеевна";"1999-4-20";"male";True
"Клава";"Пешкина";"Владимировна";"1968-8-15";"male";False
"Полина";"Суворина";"Алексеевна";"1984-2-7";"female";False
"Владимир";"Клюев";"Сергеевич";"1979-1-4";"female";False
"Иван";"Седько";"Сергеевич";"1982-3-15";"male";False
"Григорий";"Максименко";"Александрович";"2000-5-18";"female";True
"Людмила";"Волошина";"Алексеевна";"1984-5-15";"male";True
"Клава";"Волошина";"Владимировна";"2000-4-21";"female";True
"Григорий";"Дунаев";"Сергеевич";"1973-11-14";"male";False
"Ксения";"Фукина";"Максимовна";"1987-6-12";"male";False
"Григорий";"Седько";"Максимович";"1984-7-17";"female";False
"Клава";"Фукина";"Максимовна";"1999-10-11";"male";False
"Сергей";"Дунаев";"Сергеевич";"1965-9-17";"male";False
"Ксения";"Логвина";"Максимовна";"1994-4-14";"male";True
"Сергей";"Максименко";"Алексеевич";"1961-8-15";"male";True
"Алексей";"Клюев";"Максимович";"1978-6-21";"female";True
"Алексей";"Павлов";"Максимович";"1966-7-5";"male";True
"Григорий";"Клюев";"Владимирович";"1972-12-23";"female";False
"Галина";"Волошина";"Алексеевна";"1966-4-18";"female";True
"Людмила";"Пешкина";"Максимовна";"2000-11-13";"female";False
"Галина";"Миклуш";"Владимировна";"1992-9-20";"female";True
"Людмила";"Логвина";"Александровна";"1980-8-17";"female";True
"Григорий";"Ришатов";"Сергеевич";"1964-4-25";"female";False
"Ксения";"Логвина";"Владимировна";"1984-10-2";"female";True
"Владимир";"Седько";"Сергеевич";"1970-8-23";"male";False
"Клава";"Волошина";"Сергеевна";"1975-8-14";"female";True
"Галина";"Фукина";"Александровна";"1973-11-7";"female";False
"Евгений";"Дунаев";"Александрович";"1980-5-28";"male";True
"Алексей";"Дунаев";"Алексеевич";"1961-11-19";"male";False
"Евгений";"Седько";"Сергеевич";"1963-8-10";"female";True
"Алексей";"Седько";"Максимович";"1979-4-28";"female";True
"Сергей";"Седько";"Сергеевич";"1990-10-20";"male";False
"Евгений";"Клюев";"Сергеевич";"1984-10-3";"female";True
"Клава";"Пешкина";"Максимовна";"1993-6-11";"female";False
"Клава";"Миклуш";"Владимировна";"1999-5-20";"male";True
"Полина";"Фукина";"Сергеевна";"1992-12-9";"male";True
"Иван";"Павлов";"Сергеевич";"1980-7-2";"male";False
"Галина";"Миклуш";"Максимовна";"1978-10-21";"female";True
"Евгений";"Седько";"Владимирович";"1979-6-14";"male";True
"Нина";"Миклуш";"Владимировна";"1998-7-25";"male";True
"Иван";"Седько";"Сергеевич";"1973-7-1";"male";True
"Ксения";"Логвина";"Сергеевна";"1968-1-25";"male";True
"Владимир";"Ришатов";"Владимирович";"1970-5-28";"male";True
"Галина";"Логвина";"Владимировна";"1978-10-10";"female";True
"Людмила";"Логвина";"Александровна";"1963-1-16";"male";False
"Нина";"Логвина";"Максимовна";"1989-8-1";"female";True
"Нина";"Фукина";"Александровна";"1976-9-14";"male";False
"Галина";"Фукина";"Алексеевна";"1968-10-1";"male";True
"Людмила";"Пешкина";"Александровна";"1978-11-15";"female";True
"Владимир";"Клюев";"Сергеевич";"1984-1-3";"female";True
"Григорий";"Ришатов";"Максимович";"1992-11-17";"male";True
"Евгений";"Клюев";"Алексеевич";"1993-3-4";"female";True
"Галина";"Фукина";"Александровна";"1986-5-28";"female";True
"Алексей";"Клюев";"Сергеевич";"1963-12-16";"male";True
"Евгений";"Седько";"Сергеевич";"1980-8-5";"female";True
"Алексей";"Седько";"Алексеевич";"1984-4-22";"female";False
"Клава";"Миклуш";"Алексеевна";"1965-2-9";"male";False
"Сергей";"Седько";"Владимирович";"1986-10-18";"male";True
"Евгений";"Ришатов";"Сергеевич";"1966-7-5";"female";False
"Сергей";"Седько";"Алексеевич";"1980-10-3";"female";True
"Клава";"Миклуш";"Алексеевна";"1980-7-28";"male";True
"Сергей";"Ришатов";"Максимович";"1998-6-5";"male";True
"Сергей";"Седько";"Сергеевич";"1994-3-2";"male";True
"Григорий";"Дунаев";"Сергеевич";"1960-2-10";"female";False
"Нина";"Миклуш";"Александровна";"1973-5-13";"male";False
"Ксения";"Логвина";"Владимировна";"1976-4-21";"female";False
"Клава";"Фукина";"Владимировна";"2000-10-20";"male";True
"Нина";"Волошина";"Максимовна";"1991-8-15";"female";True
"Иван";"Павлов";"Александрович";"1969-1-5";"male";False
"Евгений";"Дунаев";"Алексеевич";"1984-5-2";"male";False
"Людмила";"Логвина";"Сергеевна";"1988-8-2";"male";True
"Сергей";"Седько";"Александрович";"1972-3-12";"female";False
"Владимир";"Ришатов";"Александрович";"1998-2-17";"male";False
"Владимир";"Седько";"Владимирович";"1972-1-5";"male";False
"Григорий";"Максименко";"Александрович";"1985-10-25";"female";True
"Алексей";"Седько";"Алексеевич";"1976-2-24";"female";False
"Галина";"Логвина";"Владимировна";"1997-10-9";"female";True
"Нина";"Фукина";"Александровна";"1992-4-6";"male";False
"Сергей";"Павлов";"Алексеевич";"1993-10-26";"male";False
"Владимир";"Седько";"Сергеевич";"1993-10-4";"female";True
"Григорий";"Ришатов";"Максимович";"2000-4-16";"male";False
"Евгений";"Седько";"Владимирович";"1998-3-25";"female";False
"Галина";"Фукина";"Сергеевна";"1976-2-21";"male";True
"Сергей";"Ришатов";"Максимович";"1984-3-26";"male";False
"Нина";"Пешкина";"Сергеевна";"1960-2-13";"female";True
"Полина";"Суворина";"Александровна";"1969-11-5";"male";True
"Евгений";"Дунаев";"Владимирович";"1997-7-26";"male";False
"Сергей";"Дунаев";"Максимович";"1992-4-21";"female";True
"Клава";"Суворина";"Владимировна";"1986-9-23";"female";True
"Ксения";"Логвина";"Сергеевна";"1968-6-4";"female";False
"Григорий";"Дунаев";"Максимович";"1972-11-18";"male";True
"Полина";"Пешкина";"Алексеевна";"1981-8-17";"female";True
"Алексей";"Ришатов";"Владимирович";"1970-8-2";"male";False
"Алексей";"Ришатов";"Максимович";"1971-9-8";"male";False
"Людмила";"Миклуш";"Александровна";"1970-3-22";"male";True
"Галина";"Миклуш";"Владимировна";"1998-11-18";"male";False
"Галина";"Пешкина";"Александровна";"1984-9-2";"male";True
"Григорий";"Дунаев";"Сергеевич";"1961-11-23";"male";False
"Григорий";"Павлов";"Владимирович";"1995-3-2";"male";False
"Иван";"Клюев";"Александрович";"1971-3-8";"female";False
"Евгений";"Седько";"Владимирович";"1972-2-7";"male";True
"Клава";"Фукина";"Сергеевна";"1988-10-9";"male";True
"Людмила";"Пешкина";"Владимировна";"1962-8-8";"male";True
"Евгений";"Павлов";"Максимович";"1994-8-8";"male";False
"Евгений";"Максименко";"Сергеевич";"1965-9-21";"female";False
"Евгений";"Ришатов";"Алексеевич";"1991-7-16";"male";True
"Ксения";"Пешкина";"Максимовна";"1988-6-13";"male";True
"Людмила";"Волошина";"Алексеевна";"1983-11-7";"female";True
"Людмила";"Суворина";"Александровна";"1981-8-15";"female";False
"Владимир";"Седько";"Максимович";"1997-7-7";"female";True
"Клава";"Волошина";"Алексеевна";"1977-5-2";"female";False
"Иван";"Седько";"Алексеевич";"1995-1-16";"female";True
"Нина";"Пешкина";"Сергеевна";"1973-12-6";"female";True
"Нина";"Миклуш";"Алексеевна";"1997-10-24";"female";False
"Клава";"Пешкина";"Алексеевна";"1970-12-14";"female";False
"Полина";"Миклуш";"Сергеевна";"1968-10-3";"female";True
"Сергей";"Дунаев";"Александрович";"1997-1-5";"female";False
"Полина";"Логвина";"Алексеевна";"1961-11-9";"male";True
"Григорий";"Седько";"Владимирович";"2000-6-23";"female";True
"Ксения";"Миклуш";"Александровна";"1962-10-10";"male";True
"Сергей";"Клюев";"Максимович";"1998-12-11";"female";False
"Владимир";"Ришатов";"Владимирович";"1966-5-7";"female";True
"Полина";"Волошина";"Александровна";"1983-12-12";"male";False
"Алексей";"Павлов";"Александрович";"1984-8-16";"female";True
"Нина";"Миклуш";"Владимировна";"1989-6-28";"female";True
"Людмила";"Фукина";"Александровна";"1969-7-11";"male";False
"Сергей";"Ришатов";"Максимович";"1966-4-6";"female";True
"Иван";"Седько";"Алексеевич";"1978-8-14";"female";False
"Ксения";"Фукина";"Сергеевна";"1999-8-4";"male";False
"Людмила";"Логвина";"Александровна";"1998-7-25";"male";False
"Сергей";"Клюев";"Алексеевич";"1965-8-28";"female";False
"Григорий";"Клюев";"Алексеевич";"1980-9-24";"male";False
"Евгений";"Максименко";"Алексеевич";"1971-7-14";"female";True
"Владимир";"Седько";"Владимирович";"1999-9-11";"female";False
"Нина";"Миклуш";"Максимовна";"1960-2-27";"female";True
"Евгений";"Максименко";"Александрович";"1976-5-8";"male";False
"Клава";"Фукина";"Александровна";"1979-8-2";"male";False
"Сергей";"Максименко";"Александрович";"1988-2-13";"female";True
"Полина";"Миклуш";"Максимовна";"1990-7-9";"female";False
"Григорий";"Павлов";"Владимирович";"1999-11-14";"female";True
"Григорий";"Клюев";"Алексеевич";"2000-10-25";"male";False
"Людмила";"Пешкина";"Максимовна";"1980-5-3";"male";False
"Евгений";"Павлов";"Александрович";"1971-2-12";"male";True
"Владимир";"Клюев";"Сергеевич";"1961-9-26";"male";True
"Ксения";"Пешкина";"Алексеевна";"1984-11-6";"female";False
"Полина";"Логвина";"Александровна";"1963-11-23";"male";True
"Людмила";"Пешкина";"Алексеевна";"1974-6-4";"male";False
"Иван";"Ришатов";"Максимович";"1968-1-24";"female";False
"Владимир";"Седько";"Максимович";"1969-7-5";"male";False
"Григорий";"Павлов";"Владимирович";"1987-1-7";"female";False
"Владимир";"Максименко";"Сергеевич";"1971-2-17";"female";True
"Евгений";"Дунаев";"Сергеевич";"1977-9-19";"male";False
"Нина";"Волошина";"Максимовна";"1992-2-6";"male";True
"Ксения";"Суворина";"Александровна";"1993-8-20";"male";False
"Иван";"Дунаев";"Сергеевич";"1968-2-18";"male";False
"Галина";"Миклуш";"Максимовна";"1962-6-26";"male";True
"Галина";"Фукина";"Сергеевна";"1993-7-17";"female";True
"Алексей";"Павлов";"Максимович";"1962-4-1";"female";False
"Григорий";"Дунаев";"Алексеевич";"1966-10-7";"female";True
"Сергей";"Седько";"Сергеевич";"1987-8-14";"female";True
"Клава";"Пешкина";"Алексеевна";"2000-2-28";"female";True
"Нина";"Суворина";"Сергеевна";"1981-8-20";"female";True
"Полина";"Волошина";"Владимировна";"1970-4-3";"female";True
"Нина";"Фукина";"Алексеевна";"1961-11-27";"male";False
"Евгений";"Ришатов";"Сергеевич";"1965-12-11";"male";True
"Григорий";"Ришатов";"Алексеевич";"1967-10-24";"female";True
"Ксения";"Пешкина";"Максимовна";"1974-9-2";"female";False
"Владимир";"Седько";"Владимирович";"1978-12-13";"male";True
"Григорий";"Максименко";"Сергеевич";"1995-6-5";"female";False
"Нина";"Миклуш";"Максимовна";"1981-8-4";"male";True
"Сергей";"Павлов";"Александрович";"1972-7-15";"male";False
"Клава";"Миклуш";"Александровна";"1972-3-11";"male";False
"Полина";"Пешкина";"Максимовна";"1971-12-28";"female";False
"Клава";"Пешкина";"Владимировна";"1962-3-2";"male";True
"Алексей";"Клюев";"Сергеевич";"1965-9-20";"male";True
"Григорий";"Павлов";"Сергеевич";"1999-7-12";"female";False
"Алексей";"Ришатов";"Александрович";"1992-5-3";"female";False
"Клава";"Пешкина";"Владимировна";"1969-5-21";"male";False
"Ксения";"Пешкина";"Максимовна";"1962-5-18";"male";True
"Григорий";"Клюев";"Максимович";"1970-4-6";"female";False
"Сергей";"Клюев";"Сергеевич";"1970-10-19";"female";False
"Людмила";"Волошина";"Алексеевна";"1974-5-17";"male";True
"Сергей";"Клюев";"Александрович";"1968-9-26";"male";True
"Григорий";"Седько";"Сергеевич";"1963-1-19";"female";False
"Григорий";"Клюев";"Владимирович";"1990-10-6";"male";True
"Иван";"Клюев";"Алексеевич";"1996-10-27";"male";True
"Ксения";"Суворина";"Сергеевна";"1995-1-2";"male";True
"Ксения";"Фукина";"Сергеевна";"1965-1-18";"female";True
"Владимир";"Седько";"Максимович";"1963-4-10";"female";False
"Иван";"Ришатов";"Алексеевич";"1998-8-20";"male";False
"Алексей";"Павлов";"Сергеевич";"1994-12-5";"male";False
"Григорий";"Дунаев";"Александрович";"1990-7-4";"female";True
"Григорий";"Павлов";"Максимович";"1970-1-22";"male";False
"Евгений";"Ришатов";"Максимович";"1979-3-22";"female";False
"Григорий";"Дунаев";"Максимович";"1978-4-25";"male";False
"Алексей";"Седько";"Владимирович";"1999-8-3";"male";True
"Иван";"Ришатов";"Александрович";"1995-4-22";"male";False
"Владимир";"Клюев";"Алексеевич";"1969-5-25";"female";True
"Галина";"Фукина";"Александровна";"1972-7-4";"male";False
"Сергей";"Павлов";"Александрович";"1988-6-26";"female";False
"Нина";"Суворина";"Максимовна";"1967-1-18";"female";True
"Людмила";"Миклуш";"Сергеевна";"1997-6-18";"female";True
"Галина";"Суворина";"Максимовна";"2000-8-9";"male";True
"Полина";"Логвина";"Александровна";"1969-10-8";"female";False
"Григорий";"Максименко";"Владимирович";"1964-11-8";"female";False
"Владимир";"Клюев";"Александрович";"1994-2-14";"female";False
"Клава";"Суворина";"Алексеевна";"1992-5-1";"male";True
"Иван";"Максименко";"Алексеевич";"1980-3-10";"female";True
"Нина";"Пешкина";"Максимовна";"1963-8-27";"female";True
"Ксения";"Миклуш";"Владимировна";"1960-7-26";"female";True
"Сергей";"Максименко";"Алексеевич";"1967-2-3";"male";True
"Владимир";"Ришатов";"Александрович";"1996-7-2";"female";False
"Иван";"Седько";"Владимирович";"1983-8-13";"female";True
"Нина";"Логвина";"Сергеевна";"1986-8-11";"female";True
"Алексей";"Ришатов";"Максимович";"2000-7-24";"male";True
"Григорий";"Ришатов";"Владимирович";"1964-3-6";"female";False
"Алексей";"Ришатов";"Максимович";"1961-8-21";"female";False
"Клава";"Волошина";"Алексеевна";"1962-3-6";"male";True
"Ксения";"Логвина";"Сергеевна";"1963-2-7";"female";False
"Нина";"Логвина";"Александровна";"1993-2-12";"male";True
"Иван";"Седько";"Александрович";"1986-9-11";"male";True
"Галина";"Пешкина";"Максимовна";"1971-7-14";"male";True
"Иван";"Павлов";"Владимирович";"1968-5-4";"female";False
"Владимир";"Максименко";"Сергеевич";"1972-7-9";"male";True
"Алексей";"Павлов";"Максимович";"1995-3-17";"male";False
"Клава";"Пешкина";"Максимовна";"1962-7-3";"female";False
"Ксения";"Фукина";"Владимировна";"1984-6-10";"male";True
"Ксения";"Волошина";"Владимировна";"1971-7-1";"male";False
"Сергей";"Максименко";"Владимирович";"1966-10-17";"female";True
"Владимир";"Максименко";"Алексеевич";"1974-6-16";"male";False
"Ксения";"Фукина";"Владимировна";"1976-10-15";"male";False
"Евгений";"Павлов";"Максимович";"1972-5-2";"male";True
"Ксения";"Логвина";"Сергеевна";"1994-9-8";"female";True
"Владимир";"Ришатов";"Сергеевич";"1972-11-20";"female";False
"Сергей";"Ришатов";"Сергеевич";"1976-10-26";"male";True
"Галина";"Фукина";"Владимировна";"1980-4-14";"female";False
